币种,配置,持仓期,阈值分位,阈值,方向准确率,过滤方向准确率,总信号,过滤信号,交易比例,sign总收益,sign年化,sign夏普,sign最大回撤,wt总收益,wt年化,wt夏普,wt最大回撤,最优模型,IC,Rank_IC
BTC,4h_l3_k10,1,0.3,0.0,0.4977,0.5,655,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,elasticnet,-0.0,0.0
BTC,4h_l3_k10,1,0.5,0.0,0.4977,0.5,655,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,elasticnet,-0.0,0.0
BTC,4h_l3_k10,1,0.7,0.0,0.4977,0.5,655,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,elasticnet,-0.0,0.0
BTC,4h_l3_k10,2,0.3,0.0,0.4977,0.5,655,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,elasticnet,-0.0,0.0
BTC,4h_l3_k10,2,0.5,0.0,0.4977,0.5,655,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,elasticnet,-0.0,0.0
BTC,4h_l3_k10,2,0.7,0.0,0.4977,0.5,655,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,elasticnet,-0.0,0.0
BTC,4h_l3_k10,3,0.3,0.0,0.4977,0.5,655,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,elasticnet,-0.0,0.0
BTC,4h_l3_k10,3,0.5,0.0,0.4977,0.5,655,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,elasticnet,-0.0,0.0
BTC,4h_l3_k10,3,0.7,0.0,0.4977,0.5,655,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,elasticnet,-0.0,0.0
BTC,4h_l3_all,1,0.3,0.0,0.4977,0.5,655,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,elasticnet,-0.0,0.0
